* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
* Note to Katu: look for [^.*(heyword).*\n?] when mass deleting lines. Omit []. Alt+Enter to select all and Delete to del.
*
1, none, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
1874, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquamirae:luminous_jelly, 20, 1, 2
1875, ocean, minecraft:deep_frozen_ocean, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
1876, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
1877, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1878, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
1879, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1880, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1881, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
1882, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1883, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
1884, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 10, 1, 1
1885, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
1886, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
1887, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
1888, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
1889, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
1890, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
1891, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
1892, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
1893, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
1894, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
1896, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
1897, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
1898, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
1899, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
1900, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
1901, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
1904, ocean, minecraft:deep_lukewarm_ocean, MONSTER, born_in_chaos_v1:door_knight, 30, 1, 1
1906, ocean, minecraft:deep_lukewarm_ocean, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
1907, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
1908, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, distantfriends:friend, 20, 1, 2
1910, ocean, minecraft:deep_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1911, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
1912, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
1913, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
1914, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
1915, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, tide:spectral_shimmerfin, 20, 1, 2
1916, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, tide:twilight_angler, 20, 1, 2
1917, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
1918, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 10, 1, 3
1919, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
1920, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:ancientscale, 10, 4, 8
1921, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
1922, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
1923, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:islehopper, 10, 2, 4
1924, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
1925, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:splashtail, 15, 4, 8
1926, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:stormfish, 12, 4, 8
1927, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:wildsplash, 10, 2, 4
1928, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:wrecker, 50, 4, 8
1929, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:splashtail, 10, 1, 2
1930, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:islehopper, 10, 1, 2
1931, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:ancientscale, 10, 1, 2
1932, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:plentifin, 10, 1, 2
1933, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:wildsplash, 10, 1, 2
1934, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
1935, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:battlegill, 10, 1, 2
1936, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:wrecker, 10, 1, 2
1937, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, fishofthieves:stormfish, 10, 1, 2
1938, ocean, minecraft:deep_lukewarm_ocean, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
1939, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
1940, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1941, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
1942, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1943, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1944, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
1945, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1946, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
1947, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 10, 1, 1
1948, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
1949, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
1950, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
1951, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
1952, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
1953, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
1954, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
1955, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
1956, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
1957, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
1959, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
1960, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
1961, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
1962, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
1963, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
1964, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
1969, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:door_knight, 30, 1, 1
1971, ocean, minecraft:deep_ocean, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
1972, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
1973, ocean, minecraft:deep_ocean, AMBIENT, distantfriends:friend, 20, 1, 2
1975, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1976, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
1977, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
1978, ocean, minecraft:deep_ocean, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
1979, ocean, minecraft:deep_ocean, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
1980, ocean, minecraft:deep_ocean, WATER_CREATURE, aquamirae:anglerfish, 20, 1, 2
1981, ocean, minecraft:deep_ocean, WATER_CREATURE, tide:mooncaster, 20, 1, 2
1982, ocean, minecraft:deep_ocean, WATER_CREATURE, tide:twilight_angler, 20, 1, 2
1983, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
1984, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
1985, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
1986, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:islehopper, 10, 2, 4
1987, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:splashtail, 15, 4, 8
1988, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:stormfish, 12, 4, 8
1989, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:wildsplash, 10, 2, 4
1990, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:wrecker, 50, 4, 8
1991, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:splashtail, 10, 1, 2
1992, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:islehopper, 10, 1, 2
1993, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:ancientscale, 10, 1, 2
1994, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:plentifin, 10, 1, 2
1995, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:wildsplash, 10, 1, 2
1996, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
1997, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:battlegill, 10, 1, 2
1998, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:wrecker, 10, 1, 2
1999, ocean, minecraft:deep_ocean, WATER_AMBIENT, fishofthieves:stormfish, 10, 1, 2
2000, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquamirae:spinefish, 20, 1, 2
2001, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquamirae:luminous_jelly, 20, 1, 2
2002, ocean, minecraft:deep_ocean, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
2003, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
2004, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
2005, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
2006, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
2007, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
2008, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
2009, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
2010, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
2011, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
2012, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
2014, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
2015, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
2016, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
2017, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
2018, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
2019, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
2020, none, terrablender:deferred_placeholder, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
2021, none, terrablender:deferred_placeholder, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
2022, none, terrablender:deferred_placeholder, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
2023, none, terrablender:deferred_placeholder, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
2024, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
2025, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
2026, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
2027, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
2028, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
2029, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
2030, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
2031, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
2032, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
2033, desert, minecraft:desert, MONSTER, graveyard:nightmare, 10, 1, 1
2034, desert, minecraft:desert, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
2035, desert, minecraft:desert, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
2036, desert, minecraft:desert, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
2037, desert, minecraft:desert, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
2038, desert, minecraft:desert, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
2039, desert, minecraft:desert, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
2040, desert, minecraft:desert, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
2041, desert, minecraft:desert, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
2042, desert, minecraft:desert, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
2043, desert, minecraft:desert, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
2044, desert, minecraft:desert, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
2046, desert, minecraft:desert, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
2047, desert, minecraft:desert, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
2048, desert, minecraft:desert, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
2049, desert, minecraft:desert, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
2051, desert, minecraft:desert, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
2052, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
2054, desert, minecraft:desert, MONSTER, born_in_chaos_v1:door_knight, 30, 1, 1
2056, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
2057, desert, minecraft:desert, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
2058, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
2059, desert, minecraft:desert, AMBIENT, distantfriends:friend, 20, 1, 2
2061, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
2062, desert, minecraft:desert, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
2063, desert, minecraft:desert, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
2064, desert, minecraft:desert, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
2065, desert, minecraft:desert, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
2066, desert, minecraft:desert, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
2067, none, terralith:desert_canyon, MONSTER, minecraft:spider, 80, 4, 4
2068, none, terralith:desert_canyon, MONSTER, minecraft:zombie, 19, 4, 4
2069, none, terralith:desert_canyon, MONSTER, minecraft:zombie_villager, 10, 1, 1
2070, none, terralith:desert_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
2071, none, terralith:desert_canyon, MONSTER, minecraft:creeper, 80, 4, 4
2072, none, terralith:desert_canyon, MONSTER, minecraft:slime, 80, 4, 4
2073, none, terralith:desert_canyon, MONSTER, minecraft:enderman, 5, 1, 4
2074, none, terralith:desert_canyon, MONSTER, minecraft:witch, 5, 1, 1
2075, none, terralith:desert_canyon, MONSTER, minecraft:husk, 80, 4, 4
2076, none, terralith:desert_canyon, MONSTER, graveyard:nightmare, 10, 1, 1
2077, none, terralith:desert_canyon, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
2078, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
2079, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
2080, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
2081, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
2082, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
2083, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
2084, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
2085, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
2086, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
2087, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
2089, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
2090, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
2091, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
2092, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
2093, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
2094, none, terralith:desert_canyon, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
2095, none, terralith:desert_canyon, CREATURE, minecraft:rabbit, 10, 2, 3
2096, none, terralith:desert_canyon, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
2097, none, terralith:desert_canyon, AMBIENT, minecraft:bat, 10, 8, 8
2098, none, terralith:desert_canyon, AMBIENT, distantfriends:friend, 20, 1, 2
2099, none, terralith:desert_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
2100, none, terralith:desert_canyon, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
2101, none, terralith:desert_canyon, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
2102, none, terralith:desert_canyon, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
2103, none, terralith:desert_canyon, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
2104, none, terralith:desert_canyon, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
2105, desert, terralith:desert_oasis, MONSTER, minecraft:spider, 80, 4, 4
2106, desert, terralith:desert_oasis, MONSTER, minecraft:zombie, 19, 4, 4
2107, desert, terralith:desert_oasis, MONSTER, minecraft:zombie_villager, 10, 1, 1
2108, desert, terralith:desert_oasis, MONSTER, minecraft:skeleton, 80, 4, 4
2109, desert, terralith:desert_oasis, MONSTER, minecraft:creeper, 80, 4, 4
2110, desert, terralith:desert_oasis, MONSTER, minecraft:slime, 80, 4, 4
2111, desert, terralith:desert_oasis, MONSTER, minecraft:enderman, 5, 1, 4
2112, desert, terralith:desert_oasis, MONSTER, minecraft:witch, 5, 1, 1
2113, desert, terralith:desert_oasis, MONSTER, minecraft:husk, 80, 4, 4
2114, desert, terralith:desert_oasis, MONSTER, graveyard:nightmare, 10, 1, 1
2115, desert, terralith:desert_oasis, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
2116, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
2117, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
2118, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
2119, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
2120, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
2121, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
2122, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
2123, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
2124, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
2125, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
2127, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
2128, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
2129, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
2130, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
2131, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
2132, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
2135, desert, terralith:desert_oasis, MONSTER, born_in_chaos_v1:door_knight, 30, 1, 1
2137, desert, terralith:desert_oasis, CREATURE, minecraft:rabbit, 10, 2, 3
2138, desert, terralith:desert_oasis, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
2139, desert, terralith:desert_oasis, AMBIENT, minecraft:bat, 10, 8, 8
2140, desert, terralith:desert_oasis, AMBIENT, distantfriends:friend, 20, 1, 2
2142, desert, terralith:desert_oasis, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
2143, desert, terralith:desert_oasis, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
2144, desert, terralith:desert_oasis, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
2145, desert, terralith:desert_oasis, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
2146, desert, terralith:desert_oasis, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
2147, desert, terralith:desert_oasis, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
2148, none, terralith:desert_spires, MONSTER, minecraft:spider, 80, 4, 4
2149, none, terralith:desert_spires, MONSTER, minecraft:zombie, 19, 4, 4
2150, none, terralith:desert_spires, MONSTER, minecraft:zombie_villager, 10, 1, 1
2151, none, terralith:desert_spires, MONSTER, minecraft:skeleton, 80, 4, 4
2152, none, terralith:desert_spires, MONSTER, minecraft:creeper, 80, 4, 4
2153, none, terralith:desert_spires, MONSTER, minecraft:slime, 80, 4, 4
2154, none, terralith:desert_spires, MONSTER, minecraft:enderman, 5, 1, 4
2155, none, terralith:desert_spires, MONSTER, minecraft:witch, 5, 1, 1
2156, none, terralith:desert_spires, MONSTER, minecraft:husk, 80, 4, 4
2157, none, terralith:desert_spires, MONSTER, graveyard:nightmare, 10, 1, 1
2158, none, terralith:desert_spires, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
2159, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
2160, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
2161, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
2162, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
2163, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
2164, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
2165, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
2166, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
2167, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
2168, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
2170, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
2171, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
2172, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
2173, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
2174, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
2175, none, terralith:desert_spires, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
